FID,ogc_fid,education_sector,entity_type,school_no,school_name,school_type,school_status,_address_line_1,_address_line_2,address_town,address_state,address_postcode,_postal_address_line_1,_postal_address_line_2,postal_town,postal_state,postal_postcode,full_phone_no,lga_id,lga_name,x,y,wkb_geometry
vic_school_locations_2019.625,625,Government,1,3988,Kingsville Primary School,Primary,O,58 Bishop Street,,Yarraville,VIC,3013,58 Bishop Street,,YARRAVILLE,VIC,3013,03 9314 5869,433,Maribyrnong (C),144.8747,-37.8126,MULTIPOINT ((-37.81259500091409 144.874657))
vic_school_locations_2019.626,626,Government,1,3993,Kallista Primary School,Primary,O,72 Monbulk Road,,Kallista,VIC,3791,P O Box 23A,,Kallista,VIC,3791,03 9755 2633,745,Yarra Ranges (S),145.37,-37.8851,MULTIPOINT ((-37.88508600091467 145.370004))
vic_school_locations_2019.627,627,Government,1,4015,Essendon North Primary School,Primary,O,112 Keilor Road,,Essendon North,VIC,3041,112 Keilor Road,,Essendon North,VIC,3041,03 9379 3979,506,Moonee Valley (C),144.9032,-37.7415,MULTIPOINT ((-37.7415160009135 144.903193))
vic_school_locations_2019.628,628,Government,1,4025,Ascot Vale West Primary School,Primary,O,Langs Rd,,Ascot Vale,VIC,3032,P O Box 154,,Ascot Vale,VIC,3032,03 9370 8784,506,Moonee Valley (C),144.9111,-37.7807,MULTIPOINT ((-37.780680000913826 144.911125))
vic_school_locations_2019.629,629,Government,1,4055,Hartwell Primary School,Primary,O,Milverton St,,Camberwell,VIC,3124,Milverton St,,CAMBERWELL,VIC,3124,03 9889 4012,111,Boroondara (C),145.0845,-37.8481,MULTIPOINT ((-37.848051000914374 145.084466))
vic_school_locations_2019.630,630,Government,1,4057,Red Cliffs Primary School,Primary,O,Murray Avenue,,Red Cliffs,VIC,3496,P O Box 306,,RED CLIFFS,VIC,3496,03 5024 1044,478,Mildura (RC),142.1853,-34.3116,MULTIPOINT ((-34.31156600087888 142.185312))
vic_school_locations_2019.631,631,Government,1,4060,Wattle Glen Primary School,Primary,O,16-24 Reynolds Road,,Wattle Glen,VIC,3096,PO Box 332,,DIAMOND CREEK,VIC,3089,03 9438 1259,571,Nillumbik (S),145.182,-37.6688,MULTIPOINT ((-37.6688400009129 145.182037))
vic_school_locations_2019.632,632,Government,1,4062,Hampton Park Primary School,Primary,O,32 Somerville Road,,Hampton Park,VIC,3976,32 Somerville Road,,HAMPTON PARK,VIC,3976,03 9799 1440,161,Casey (C),145.2529,-38.0304,MULTIPOINT ((-38.03041300091583 145.252893))
vic_school_locations_2019.633,633,Government,1,4064,Colac West Primary School,Primary,O,12 Ligar Street,,Colac,VIC,3250,Post Office Box 268,,Colac,VIC,3250,03 5231 2479,175,Colac-Otway (S),143.5797,-38.3364,MULTIPOINT ((-38.336417000918175 143.579749))
vic_school_locations_2019.634,634,Government,1,4087,Ripponlea Primary School,Primary,O,25 Carrington Grove,,St Kilda East,VIC,3183,25 Carrington Grove,,ST KILDA EAST,VIC,3183,03 9527 5728,231,Glen Eira (C),145.0051,-37.8746,MULTIPOINT ((-37.874608000914584 145.005054))
vic_school_locations_2019.635,635,Government,1,4098,Noojee Primary School,Primary,O,65 School Road,,Noojee,VIC,3833,P O Box 90,,NOOJEE,VIC,3833,03 5628 9558,83,Baw Baw (S),146.0079,-37.8951,MULTIPOINT ((-37.895136000914746 146.007862))
vic_school_locations_2019.636,636,Government,1,4112,Montmorency Primary School,Primary,O,60a Rattray Road,,Montmorency,VIC,3094,P O Box 42 Rattray Road,,MONTMORENCY,VIC,3094,03 9434 5944,66,Banyule (C),145.1216,-37.7177,MULTIPOINT ((-37.717652000913304 145.121599))
vic_school_locations_2019.637,637,Government,1,4117,Moriac Primary School,Primary,O,785 Hendy Main Road,,Moriac,VIC,3240,785 Hendy Main Road,,MORIAC,VIC,3240,03 5266 1298,649,Surf Coast (S),144.1756,-38.2414,MULTIPOINT ((-38.241385560917465 144.175572))
vic_school_locations_2019.638,638,Government,1,4120,Ringwood North Primary School,Primary,O,172 Oban Road,,Ringwood North,VIC,3134,P O Box 2312,,RINGWOOD NORTH,VIC,3134,03 9876 3411,441,Maroondah (C),145.2307,-37.7931,MULTIPOINT ((-37.793130000913926 145.23073899999997))
vic_school_locations_2019.639,639,Government,1,4123,Red Cliffs East Primary School,Primary,O,Block 67a Nerrum Avenue,,Red Cliffs,VIC,3496,P O Box 320,,RED CLIFFS,VIC,3496,03 5024 1147,478,Mildura (RC),142.2143,-34.3051,MULTIPOINT ((-34.305108000878796 142.214274))
vic_school_locations_2019.640,640,Government,1,4139,Lloyd Street Primary School,Primary,O,Lloyd Street,,Malvern East,VIC,3145,6- 10 Lloyd Street,,MALVERN EAST,VIC,3145,03 9573 4600,635,Stonnington (C),145.0561,-37.8724,MULTIPOINT ((-37.87241600091457 145.05610799999997))
vic_school_locations_2019.641,641,Government,1,4143,Bayswater North Primary School,Primary,O,Stuart Street,,Bayswater North,VIC,3153,Stuart Street,,BAYSWATER,VIC,3153,03 9729 1744,441,Maroondah (C),145.2956,-37.8288,MULTIPOINT ((-37.828800000914214 145.295621))
vic_school_locations_2019.642,642,Government,1,4158,Westbreen Primary School,Primary,O,2-10 Pascoe Street,,Pascoe Vale,VIC,3044,2-10 Pascoe Street,,Pascoe Vale,VIC,3044,03 9306 9481,525,Moreland (C),144.9355,-37.7163,MULTIPOINT ((-37.71629100091329 144.935476))
vic_school_locations_2019.643,643,Government,1,4159,Point Cook Prep - Year 9 College,Pri/Sec,O,18 - 50 Ponsford Drive,,Point Cook,VIC,3030,P O Box 6497,,POINT COOK,VIC,3030,03 8348 7100,726,Wyndham (C),144.7257,-37.8936,MULTIPOINT ((-37.89359300091474 144.725689))
vic_school_locations_2019.644,644,Government,1,4160,Footscray North Primary School,Primary,O,14 Rosamond Road,,Footscray,VIC,3011,P O Box 4253,,WEST FOOTSCRAY,VIC,3012,03 9317 9047,433,Maribyrnong (C),144.8834,-37.7877,MULTIPOINT ((-37.787746000913884 144.883372))
vic_school_locations_2019.645,645,Government,1,4169,Airly Primary School,Primary,O,226 Airly Estate Road,,Airly,VIC,3851,226 Airly Estate Road,,AIRLY,VIC,3851,03 5149 8251,681,Wellington (S),147.1139,-38.0257,MULTIPOINT ((-38.02571200091579 147.113897))
vic_school_locations_2019.646,646,Government,1,4170,Camberwell South Primary School,Primary,O,Peate Avenue,,Glen Iris,VIC,3146,PEATE AVENUE,,GLEN IRIS,VIC,3146,03 9889 4295,111,Boroondara (C),145.0626,-37.8479,MULTIPOINT ((-37.847905000914366 145.062612))
vic_school_locations_2019.647,647,Government,1,4171,Parkdale Primary School,Primary,O,305-311 Nepean Highway,,Parkdale,VIC,3195,P O Box 2124,,PARKDALE,VIC,3195,03 9580 1451,343,Kingston (C),145.0831,-37.9928,MULTIPOINT ((-37.99279200091553 145.083098))
vic_school_locations_2019.648,648,Government,1,4176,Hughesdale Primary School,Primary,O,Brine Street,,Hughesdale,VIC,3166,Brine Street,,HUGHESDALE,VIC,3166,03 9570 4808,497,Monash (C),145.0776,-37.9058,MULTIPOINT ((-37.905839000914824 145.077639))
vic_school_locations_2019.649,649,Government,1,4177,Westgarth Primary School,Primary,O,45 Brooke St & 311 Clarke St,,Northcote,VIC,3070,P O Box 59,,NORTHCOTE,VIC,3070,03 9481 5577,189,Darebin (C),145.0056,-37.7765,MULTIPOINT ((-37.77647100091379 145.005561))
